,cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area,geometry,ID,time_x,time_y,temporary_crop,trends
22,3792,11,cero,0,1.6348798,18.505151,-70.587416,1,revisar área,ok,ok,15143.426,"POLYGON ((-70.58675310759801 18.50515656152918, -70.58678375082228 18.50496085853376, -70.58687628282513 18.50478376799978, -70.58702164578723 18.50464262471223, -70.58720561054841 18.50455124465955, -70.58741016946492 18.50451857266665, -70.58761529908142 18.50454780684796, -70.5878009200913 18.50463608557203, -70.58794886275896 18.50477476757259, -70.58804464544603 18.50495027778911, -70.58807889216689 18.5051454361501, -70.58804825041723 18.5053411392433, -70.58795571941555 18.50551823027253, -70.58781035659874 18.50565937426364, -70.58762639107151 18.50575075495943, -70.58742183077021 18.50578342728936, -70.58721669967912 18.50575419301026, -70.58703107766809 18.50566591379093, -70.5868831348551 18.50552723108682, -70.58678735293408 18.50535172022719, -70.58675310759801 18.50515656152918))",379211,Baseline,1. Follow-up1,1,no trend
23,3807,11,cero,0,1.2575998,18.452733,-70.643343,0,mover hacia el centro del cultivo y la zona de influencia contiene edificaciones,"Se movió hacia abajo, sin edificaciones",ok,15142.69,"POLYGON ((-70.6425527896269 18.45128447197166, -70.6425833643262 18.45108876448337, -70.64267581246011 18.45091165234155, -70.6428210844189 18.45077047244694, -70.64300495994969 18.4506790443717, -70.64320944014224 18.45064631764138, -70.64341450924631 18.45067549572804, -70.64360009387816 18.45076372249042, -70.6437480278633 18.45090236174805, -70.64384383041389 18.45107784262402, -70.64387812360098 18.45127298791898, -70.64384755037277 18.45146869550019, -70.64375510324085 18.45164580813282, -70.64360983143231 18.45178698872866, -70.64342595514258 18.45187841744773, -70.64322147357184 18.45191114451851, -70.64301640299671 18.45188196633896, -70.64283081736284 18.45179373908575, -70.64268288322747 18.45165509912689, -70.64258708143581 18.45147961760711, -70.6425527896269 18.45128447197166))",380711,Baseline,1. Follow-up1,1,no trend
24,3832,11,pasto,0,3.1439996,18.882355,-71.26045499999998,1,mover hacia el cenro del cultivo,Se movió hacia abajo,ok,30857.872,"POLYGON ((-71.25918167793816 18.88212392729583, -71.2586152257752 18.88133217276701, -71.25994838336312 18.88142578333353, -71.26034186517319 18.88144096536928, -71.26062457730561 18.88140757879748, -71.26153616289221 18.88134657651887, -71.26164745253176 18.88182440449323, -71.26151753823675 18.88308383742703, -71.26099098788129 18.88253119710408, -71.25987965007126 18.88216535832817, -71.25918167793816 18.88212392729583))",383211,Baseline,1. Follow-up1,1,no trend
25,3837,11,pasto,0,0.94319987,18.775982,-71.549012,1,revisar tipo de cultivo,revisar tipo de cultivo,ok,15126.926,"POLYGON ((-71.5483484605285 18.77599105516981, -71.54837799910106 18.77579530582007, -71.54846959793646 18.77561783149843, -71.54861429054817 18.77547600456306, -71.54879791338192 18.77538370792143, -71.5490024922558 18.77534997611318, -71.54920800176004 18.77537811098418, -71.54939432540885 18.77546535850119, -71.54954322469965 18.77560317833428, -71.54964012436569 18.77577807981912, -71.54967553909211 18.77597294247843, -71.54964600204295 18.77616869185601, -71.54955440429399 18.77634616663497, -71.54940971191675 18.77648799428245, -71.54922608837597 18.77658029161896, -71.5490215081236 18.77661402383947, -71.54881599709596 18.77658588894062, -71.5486296723607 18.77649864096631, -71.54848077283543 18.7763608204211, -71.54838387387643 18.77618591824139, -71.5483484605285 18.77599105516981))",383711,Baseline,1. Follow-up1,1,no trend
27,3850,11,pasto,0,2.8295996,18.945386,-71.262174,1,mover hacia el centro del cultivo,Se movió hacia abajo,ok,14305.811,"POLYGON ((-71.26169104050005 18.94305415242837, -71.26163995435901 18.94247451957917, -71.26200940654711 18.9424475506379, -71.26219398220583 18.94271483672411, -71.26234393310084 18.94372127941381, -71.26211397265698 18.94456264896636, -71.26176741141425 18.94453692902884, -71.26159971118308 18.94377029182791, -71.2615451955668 18.94332546997557, -71.26169104050005 18.94305415242837))",385011,Baseline,1. Follow-up1,1,no trend
28,3861,11,cero,0,6.036479,18.888173000000002,-71.71038399999999,1,mover mas hacia el centro del cultivo,Se movió hacia abajo,"ok, árboles",6838.812,"POLYGON ((-71.71027811695461 18.88729430078205, -71.71053825103668 18.88717074317406, -71.71061921902053 18.88698991752673, -71.71111279713064 18.88671324986714, -71.71075282024758 18.88714765247019, -71.71060506190614 18.88773864274273, -71.71077991231382 18.88850457091061, -71.71040125534276 18.88843025310762, -71.71030952340766 18.88794255898282, -71.71013794800267 18.88770553563339, -71.71027811695461 18.88729430078205))",386111,Baseline,1. Follow-up1,1,no trend
29,3865,11,pasto,0,1.5719998,18.87754,-71.680492,1,"el punto esta sobre la vía, mover hacia la izquierda",Se movió hacia la izquierda,"ok, arbustos",8558.239,"POLYGON ((-71.68074178933962 18.87789487550245, -71.68048442353381 18.87720494528475, -71.68110826770177 18.87687657443121, -71.68132386528237 18.87724773169379, -71.68174475187726 18.87702387633575, -71.68202092483519 18.8772376761032, -71.68074178933962 18.87789487550245))",386511,Baseline,1. Follow-up1,1,no trend
33,3888,11,cero,0,0.81743991,18.678475,-71.341936,1,revisar área,ok,"ok, árboles",15131.107,"POLYGON ((-71.34127273803831 18.67848327829894, -71.34130251662914 18.67828753463851, -71.34139430482107 18.67811014149226, -71.34153911759496 18.67796846327137, -71.34172277963704 18.67787636832656, -71.34192731292892 18.67784287145576, -71.34213269652241 18.67787125150988, -71.3423188262548 18.67795873045752, -71.34246748260239 18.67809674531573, -71.34256411407669 18.67827178632926, -71.34259926161377 18.67846671936105, -71.34256948453232 18.67866246306395, -71.34247769740614 18.6788398566745, -71.34233288484727 18.67898153560415, -71.34214922208739 18.67907363123146, -71.34194468741904 18.67910712849782, -71.34173930231617 18.67907874840121, -71.34155317151804 18.67899126898928, -71.34140451495543 18.6788532534223, -71.34130788419894 18.67867821172627, -71.34127273803831 18.67848327829894))",388811,Baseline,1. Follow-up1,1,no trend
42,3918,11,guandul,1,6.2879992,18.903489999999998,-70.861009,0,revisar área,ok,ok,14889.228,"POLYGON ((-70.86042359004857 18.90367808941381, -70.86051405052069 18.90355736410762, -70.86073140907061 18.90329058604059, -70.86081328419318 18.90310504453902, -70.86077469335312 18.90293568722382, -70.86102512083035 18.90281335917632, -70.86154235782215 18.90311295244095, -70.86149616451223 18.90343020131832, -70.86122094712036 18.90408930462483, -70.86047987380111 18.90449878665445, -70.86020713929192 18.9045015183363, -70.86008413368273 18.90428807406155, -70.86039060155349 18.90401541143344, -70.86040219590012 18.90387800242831, -70.86032007246075 18.90380393792629, -70.86042359004857 18.90367808941381))",391811,Baseline,1. Follow-up1,0,no trend
43,3920,11,guandul,1,2.8295996,18.482028,-70.688897,1,revisar área y tipo de cultivo,ok,"ok, revisar tipo cultivo",15142.042,"POLYGON ((-70.68823423028154 18.48203390992448, -70.68826475491699 18.48183819935003, -70.68835716793227 18.48166106787649, -70.6885024231545 18.4815198542971, -70.68868630196857 18.48142838148115, -70.68889080514252 18.48139560333329, -70.68909591467678 18.48142472835814, -70.68928155323054 18.48151290560807, -70.6894295493518 18.48165150374904, -70.68952541617102 18.48182695592911, -70.68955976946845 18.48202208775832, -70.68952924630804 18.48221779842259, -70.68943683429988 18.48239493038574, -70.68929157923215 18.48253614466752, -70.68910769966098 18.48262761813037, -70.68890319510747 18.48266039662253, -70.68869808409818 18.48263127150787, -70.68851244453728 18.48254309376832, -70.68836444826151 18.48240449492494, -70.68826858219941 18.48222904209799, -70.68823423028154 18.48203390992448))",392011,Baseline,1. Follow-up1,0,no trend
44,3922,11,habichuela negra,1,2.5151997,18.523028,-70.57157599999998,1,ok,ok,ok,13773.211,"POLYGON ((-70.57104304436989 18.52340419248247, -70.57120161889193 18.52330074829415, -70.57118859690296 18.52302123420461, -70.57118112818064 18.52277662673636, -70.57138246933552 18.52247036438087, -70.57235220614342 18.52262208422195, -70.57259351466058 18.52267999576579, -70.57269414627031 18.52280898308261, -70.57311322627729 18.52284544169727, -70.57261195539108 18.52297943754757, -70.57250864599189 18.52313009466981, -70.57226742812965 18.52308216881387, -70.57220830460393 18.52321818827674, -70.57218064168245 18.52332256690765, -70.5719662778278 18.52334931612502, -70.57179456117422 18.52346059578799, -70.57149654496409 18.52349802662912, -70.57137662720044 18.52363118091939, -70.57119099199265 18.52354288713881, -70.57104304436989 18.52340419248247))",392211,Baseline,1. Follow-up1,0,no trend
50,3940,12,cero,0,0.75455987,18.704881,-71.64855,0,revisar área,ok,ok,15124.757,"POLYGON ((-71.6478867907315 18.7048903742947, -71.64791621090529 18.70469462332516, -71.64800767061163 18.70451711630481, -71.64815221698257 18.70437522879362, -71.64833570077764 18.70428284962909, -71.64854016142338 18.70424902142852, -71.64874558508164 18.7042770554724, -71.64893186366926 18.70436420759597, -71.64908076309493 18.70450194680604, -71.64917770807993 18.70467679032977, -71.64921320887491 18.70487162336381, -71.64918379022028 18.70506737435278, -71.64909233160316 18.70524488182325, -71.64894778547546 18.70538677004331, -71.64876430098477 18.70547914990469, -71.6485598389702 18.70551297852393, -71.64835441379279 18.70548494446061, -71.64816813411595 18.70539779188694, -71.64801923444705 18.70526005196798, -71.64792229015768 18.7050852077474, -71.6478867907315 18.7048903742947))",394012,Baseline,1. Follow-up1,1,no trend
52,3949,11,cero,0,0.62879992,18.607032999999998,-70.75088700000002,1,revisar área,ok,"ok, árboles",15141.162,"POLYGON ((-70.75022376960733 18.60703916671726, -70.75025423214876 18.60684345253771, -70.75034663424175 18.60666629267647, -70.75049193078091 18.60652502870543, -70.75067589910584 18.60643348842585, -70.75088053122296 18.60640063234521, -70.75108579651213 18.60642967659583, -70.75127160238804 18.60651777813638, -70.75141976102174 18.60665631304392, -70.75151576963668 18.60683172065696, -70.75155023013286 18.60702683094905, -70.75151976907958 18.6072225452152, -70.75142736800557 18.60739970556713, -70.751282071627 18.60754097024554, -70.75109810254293 18.60763251117898, -70.75089346903694 18.60766536761021, -70.75068820225962 18.607636323273, -70.75050239536472 18.60754822124175, -70.75035423657043 18.60740968562683, -70.75025822871463 18.60723427735994, -70.75022376960733 18.60703916671726))",394911,Baseline,1. Follow-up1,0,trend
53,3952,11,cero,0,1.8863997,18.681203,-70.88990800000002,1,revisar área,ok,"ok, árboles",15139.095,"POLYGON ((-70.88924453304463 18.68120968181596, -70.88927483926709 18.68101395911035, -70.88936712350065 18.68083674113797, -70.88951235217472 18.68069537515962, -70.88969630927019 18.68060369896136, -70.88990098789175 18.68057068635411, -70.89010635286742 18.68059956879049, -70.89029230185537 18.68068751906729, -70.89044063301985 18.68082592806774, -70.89053682669766 18.68100124745535, -70.89057146667452 18.68119631584107, -70.89054116195055 18.68139203862357, -70.89044887875042 18.68156925708235, -70.89030365024996 18.68171062377078, -70.89011969240195 18.6818023006316, -70.8899150123892 18.68183531360079, -70.88970964591502 18.6818064310875, -70.88952369589366 18.68171848032431, -70.88937536455558 18.68158007061378, -70.88927917163029 18.68140475056361, -70.88924453304463 18.68120968181596))",395211,Baseline,1. Follow-up1,1,no trend
62,3991,11,habichuela negra,1,5.344799500000001,18.754737,-70.861374,1,revisar área,ok,ok,11678.803,"POLYGON ((-70.86110245340821 18.75530385953542, -70.86110751387108 18.75480954791997, -70.86111956655859 18.75447492791572, -70.86090241766505 18.75426740232362, -70.86116229014587 18.75413767034617, -70.86136706451776 18.75410468093952, -70.86157251774362 18.75413358710557, -70.86175853884393 18.75422155931872, -70.8619069189244 18.75435998631542, -70.86200313353329 18.75453531799807, -70.86203776440655 18.75473039177422, -70.86200742143436 18.75492611251476, -70.8619150745845 18.7551033216986, -70.86176976326296 18.75524467278651, -70.86158571152998 18.75533632924785, -70.86138093575931 18.7553693190153, -70.86110245340821 18.75530385953542))",399111,Baseline,1. Follow-up1,0,no trend
63,4001,11,habichuela negra,1,3.7727995,18.593641,-70.74679500000002,1,revisar área y tipo de cultivo,Revisar tipo de cultivo,ok,15141.263,"POLYGON ((-70.74613182000918 18.59364714804413, -70.74616228629399 18.59345143407284, -70.74625468683034 18.59327427622726, -70.74639997666539 18.59313301588196, -70.74658393379501 18.59304148048339, -70.74678855132143 18.59300863006131, -70.74699380005265 18.59303768019422, -70.74717958902394 18.59312578726503, -70.74732773206094 18.5932643268094, -70.74742372791374 18.59343973771189, -70.74745817973169 18.59363484962397, -70.74742771493369 18.59383056368199, -70.74733531541523 18.59400772201803, -70.74719002574038 18.59414898307017, -70.74700606785203 18.59424051912197, -70.74680144893779 18.59427336989414, -70.74659619871977 18.59424431967449, -70.74641040873058 18.59415621211322, -70.74626226553342 18.59401767186202, -70.74616627043933 18.5938422603063, -70.74613182000918 18.59364714804413))",400111,Baseline,1. Follow-up1,0,no trend
68,4043,12,habichuela negra,1,0.94319987,18.612488,-70.726214,0,mover hacia el centro del cultivo,Se movió hacia abajo,ok,7441.236,"POLYGON ((-70.7255151625931 18.61206668694714, -70.72560984315321 18.61184862773744, -70.72582304381196 18.61169938250666, -70.72581951934113 18.61160954258644, -70.72593446479954 18.61158352416997, -70.72596683900515 18.61167809245673, -70.72622019309684 18.61187548525382, -70.72651533701926 18.61206250855653, -70.72682014793683 18.61216955626811, -70.72679567969452 18.61233953932377, -70.72631773396077 18.61264582987496, -70.72611308735748 18.61267866021741, -70.72594458614012 18.61232737369012, -70.72582118124856 18.61203392400442, -70.72564798215777 18.61199556870945, -70.72562290856476 18.61210564242214, -70.7255151625931 18.61206668694714))",404312,Baseline,1. Follow-up1,0,no trend
70,4058,11,habichuela blanca,1,1.8863997,18.879918,-71.562083,1,revisar área,ok,ok,15126.679,"POLYGON ((-71.56141905923225 18.87992715002748, -71.56144858481507 18.87973140020651, -71.5615402112129 18.87955391617503, -71.56168496924018 18.8794120712413, -71.56186868893907 18.87931975007397, -71.56207338664645 18.87928598961287, -71.56227902532157 18.87931409450826, -71.56246547583595 18.87940131366116, -71.5626144872695 18.8795391095185, -71.56271147337841 18.87971399376345, -71.56274694038559 18.87990884760688, -71.56271741633618 18.88010459745589, -71.56262579103203 18.88028208194741, -71.56248103324094 18.88042392759745, -71.56229731283055 18.88051624946375, -71.56209261373574 18.8805500103395, -71.56188697352721 18.88052190541606, -71.56170052191915 18.88043468580312, -71.56155151024942 18.88029688922948, -71.561454524852 18.88012200428556, -71.56141905923225 18.87992715002748))",405811,Baseline,1. Follow-up1,0,no trend
71,4061,12,pasto,0,10.312319,18.782872,-71.31698799999998,1,Revisar tipo de cultivo,Revisar tipo de cultivo,"ok, árboles",15131.619,"POLYGON ((-71.3163243187705 18.78288023418417, -71.31635413051761 18.78268449137846, -71.3164459896594 18.78250710332172, -71.31659090423105 18.78236543392629, -71.31677468895433 18.78227335067837, -71.31697935380301 18.78223986723058, -71.31718486495269 18.78226826111996, -71.31737110575584 18.78235575296126, -71.31751984581703 18.78249377851004, -71.31761652545303 18.78266882696521, -71.31765168088447 18.78286376346162, -71.31762187065583 18.78305950631295, -71.31753001258427 18.78323689483858, -71.31738509822583 18.78337856494711, -71.31720131277731 18.78347064887994, -71.31699664654194 18.78350413272285, -71.31679113387378 18.78347573878788, -71.3166048920004 18.78338824647768, -71.31645615172599 18.78325022021579, -71.31635947281524 18.78307517107571, -71.3163243187705 18.78288023418417))",406112,Baseline,1. Follow-up1,1,no trend
80,4111,12,pasto,0,1.8863997,18.847534,-71.569126,1,revisar área,ok,ok,17316.318,"POLYGON ((-71.56855393892361 18.84748699756979, -71.56829813827373 18.84686670235892, -71.56854330651881 18.84678846089627, -71.56877867698111 18.84709962073294, -71.56905445389556 18.84731041066895, -71.56922754543021 18.84731800303489, -71.56924554510263 18.84712312147364, -71.56935764732256 18.8469119693681, -71.56958010693515 18.84706360724998, -71.56986705467935 18.84800785859538, -71.56987943563179 18.84813245244777, -71.56978107970043 18.84821365972445, -71.56964201442479 18.84837527838955, -71.56943869371733 18.84844795326343, -71.56865897896992 18.84818922209233, -71.56867728296392 18.84766994765791, -71.56855393892361 18.84748699756979))",411112,Baseline,1. Follow-up1,1,no trend
85,3727,13,auyama,1,4.0871997,18.634757,-70.767438,0,ok,ok,ok,9974.973,"POLYGON ((-70.76683545470166 18.63473270594024, -70.76680511342813 18.63456751877916, -70.76692718827839 18.63448719658317, -70.7670726319829 18.63437099534445, -70.76723886786424 18.63423962018587, -70.76762218810312 18.63433587324367, -70.76780416491222 18.63471361540319, -70.76807284438902 18.63486586601945, -70.76833254886266 18.63516299182261, -70.7681609212583 18.63527944024339, -70.76798333342083 18.63532604535639, -70.76776235293838 18.63522826704067, -70.76746431755325 18.63527600403047, -70.76731618849321 18.63513260512534, -70.76723992977217 18.63484873213695, -70.76692068937059 18.63487170350926, -70.76683545470166 18.63473270594024))",372713,Baseline,1. Follow-up1,0,no trend
87,3783,11,cafe,0,2.2007997,18.721062,-70.882015,1,ok,ok,ok,13221.903,"POLYGON ((-70.8813513746997 18.72106866757521, -70.88138169277509 18.72087294550496, -70.88154890490186 18.72084701286069, -70.88176905929396 18.72085478599068, -70.88178659052393 18.72054507439772, -70.88193830430428 18.72052357996236, -70.88212550693258 18.72054171039772, -70.88231149823429 18.72062966475393, -70.88254776892202 18.72068493946632, -70.88264398139275 18.72086026093177, -70.88267862502033 18.72105533007641, -70.88264830844695 18.72125105222464, -70.88255599905668 18.72142826871785, -70.88241073258875 18.72156963230161, -70.88222672871261 18.72166130522232, -70.88202199911694 18.72169431380152, -70.88181658435917 18.72166542687807, -70.88163059208037 18.7215774721164, -70.8814822286477 18.72143905921073, -70.88138601693223 18.72126373708175, -70.8813513746997 18.72106866757521))",378311,Baseline,1. Follow-up1,1,no trend
88,3783,12,auyama,1,4.4015994,18.902798999999998,-70.858002,1,ok,ok,"ok, revisar tipo cultivo",15139.621,"POLYGON ((-70.85733765239799 18.90280564396313, -70.85736801112941 18.90260992416126, -70.85746042893251 18.90243271251432, -70.85760585916047 18.90229135566268, -70.85779006606494 18.90219969049772, -70.85799501829959 18.90216668974949, -70.85820065391232 18.90219558370969, -70.85838684407224 18.90228354404779, -70.85853536333758 18.90242196066336, -70.8586316736322 18.90259728447586, -70.85866634732454 18.90279235366389, -70.8586359901114 18.90298807354773, -70.85854357335263 18.90316528568985, -70.85839814329617 18.90330664326072, -70.85821393562483 18.90339830909425, -70.85800898197786 18.90343131020503, -70.85780334484684 18.90340241616287, -70.85761715364258 18.9033144553296, -70.85746863420576 18.90317603799478, -70.85737232467801 18.90300071351371, -70.85733765239799 18.90280564396313))",378312,Baseline,1. Follow-up1,0,no trend
